index,bearing,latitude_geo,longitude_geo,speed_over_ground,desired_operating_speed_engine,engine_speed,fuel_delivery_pressure_sensor,fuel_pressure,fuel_rate,level_engine_coolant,load,engine_oil_filter_diff_pressure_j1939,oil_pressure,position_accelerator_pedal_1,position_engine_throttle,potential_battery_power_input_1,pressure_diff_fuel_filter,pressure_engine_coolant ,pressure_engine_crankcase,pressure_engine_inlet_air,pressure_engine_intake_manifold_1,rated_speed_engine,running_hours,temperature_ambient_air,temperature_engine_air_inlet,temperature_engine_coolant,temperature_engine_fuel_1,temperature_engine_intake_manifold_1,left_manifold_exh_gas_temperature,right_manifold_exh_gas_temperature,total_average_fuel_rate_engine,total_fuel_used_engine,transmission_1_oil_pressure,transmission_oil_temperature_1,trip_fuel_engine,acceleration_x,acceleration_y,acceleration_z,operation,year,month,day,hour,minute,second
32,98.6753,50.41749,7.560391,0,650,0,0,0,0,0,0,0,0,0,0,25.65,2.909091,0,0,0,0,0,412.35,0,0,65.09091,0,66,119.313,94.094,84.45,34824,13.090909,26.181818,34824,0.01162496,-0.12180672,0.00517104,0,2021,6,1,0,5,58
33,98.6753,50.41749,7.560391,0,650,0,0,0,0,0,0,0,0,0,0,25.65,2,0,0,0,0,0,412.35,0,0,65.181816,0,66,119.313,94.094,84.45,34824,13.090909,26.181818,34824,0.01162496,-0.12180672,0.00517104,0,2021,6,1,0,6,0
34,98.6753,50.41749,7.560391,0,650,0,0,0,0,0,0,0,0,0,0,25.65,2,0,0,0,0,0,412.35,0,0,65.181816,0,66,119.313,94.094,84.45,34824,13.090909,26.181818,34824,0.01354016,-0.11031552,0.014364,0,2021,6,1,0,6,10
35,98.6753,50.41749,7.560384,0,650,0,0,0,0,0,0,0,0,0,0,25.65,2,0,0,0,0,0,412.35,0,0,65.181816,0,66,119.313,94.094,84.45,34824,13.090909,26.181818,34824,0.01354016,-0.11031552,0.014364,0,2021,6,1,0,6,14
36,98.6753,50.41749,7.560384,0,650,0,0,0,0,0,0,0,0,0,0,25.65,2,0,0,0,0,0,412.35,0,0,65.181816,0,66,119.313,94.094,84.45,34824,13.090909,26.181818,34824,0.01354016,-0.11031552,0.014364,0,2021,6,1,0,6,15
37,98.6753,50.41749,7.560384,0,650,0,0,0,0,0,0,0,0,0,0,25.65,2,0,0,0,0,0,412.35,0,0,65.181816,0,66,119.313,94.094,84.45,34824,13.090909,26.181818,34824,0.01354016,-0.11031552,0.014364,0,2021,6,1,0,6,16
38,98.6753,50.41749,7.560384,0,650,0,0,0,0,0,0,0,0,0,0,25.7,2,0,0,0,0,0,412.35,0,0,65.181816,0,66,118.406,94.094,84.45,34824,13.090909,26.181818,34824,0.01354016,-0.11031552,0.014364,0,2021,6,1,0,6,17
39,98.6753,50.41749,7.560384,0,650,0,0,0,0,0,0,0,0,0,0,25.7,2,0,0,0,0,0,412.35,0,0,65.181816,0,66,118.406,94.094,84.45,34824,13.090909,26.181818,34824,0.01219952,-0.10303776,0.009576,0,2021,6,1,0,6,23
40,98.6753,50.41749,7.560384,0,650,0,0,0,0,0,0,0,0,0,0,25.7,1.2,0,0,0,0,0,412.35,0,0,65,0,66,118.406,94.094,84.45,34824,16,26,34824,0.01219952,-0.10303776,0.009576,0,2021,6,1,0,6,30
41,98.6753,50.41749,7.560384,0,650,0,0,0,0,0,0,0,0,0,0,25.7,1.2,0,0,0,0,0,412.35,0,0,65,0,66,118.406,94.094,84.45,34824,16,26,34824,0.01602992,-0.12774384,0.0086184,0,2021,6,1,0,6,35
